Antigen	Antibody	Competition_Index
SI06_H1	31.a.55	0.335421484665033
SI06_H1	045-09-1G05	-0.394254325614986
SI06_H1	009-10-1G06	-0.148680724456079
SI06_H1	051-10-2B05	-0.603836968159464
SI06_H1	009-10-2F01	-0.528803988221211
SI06_H1	AG11-2F01	1.17758617499224
MI15_H1	31.a.55	1.7893909518851
MI15_H1	045-09-1G05	-0.417075027662965
MI15_H1	009-10-1G06	-0.415444696906621
MI15_H1	042-10-2D01	-0.589238972938418
MI15_H1	009-10-2F01	-0.982663351155698
MI15_H1	029-09-2A06	-0.221795872831735
QH_H5	56.e.01	0.00913846929649246
QH_H5	C7-3-C02	-0.0857694570438429
QH_H5	3C11	0.217083813014648
SH_H7	045-09-1G05	-1.1119606415986
SH_H7	042-10-2D01	-1.23574599872508
Phu_FluB	011-10069-2G04	0.0342168995343469
Phu_FluB	K77-2A04	0.838940521788203
Phu_FluB	034-100809-1F05	-0.509572604781285
Phu_FluB	017-10116-3D04	0.0562945626354568
Lee_FluB	150055-015-1D02	0.0818428202586768
Lee_FluB	011-10069-2G04	0.969064458765533
Lee_FluB	K77-2A04	1.42270974631052
Lee_FluB	034-100809-1F05	-0.0078961001396072
Lee_FluB	017-10116-3D04	0.789850372122436
